"image_id","source","license_id","author"
"1",\N,"44",\N
"2",\N,"44",\N
"3",\N,"0",\N
"4",\N,"0",\N
"5",\N,"0",\N
"6","http://commons.wikimedia.org/wiki/File:Harrison_Fords_Jules_Verne_Award.JPG","21",\N
"7","http://commons.wikimedia.org/wiki/File:AlanLightMarkHamill.jpg","21","photo by Alan Light"
"8",\N,"0",\N
"9","http://commons.wikimedia.org/wiki/File:Carrie_Fisher_and_Wim_Wenders.jpg","21",\N
"30853","http://www.amazon.com/White-Meadows-Keshtzar-Haye-Sepid/dp/B00AY60AQ4","45",\N
"30854","http://www.moviepilot.de/movies/3-zan-2/images/7927043","44",\N
"10",\N,"44",\N
"11","","44",\N
"13","http://en.wikipedia.org/wiki/File:Sam_Mendes,_Charlie_and_the_Chocolate_Factory,_2013.jpg","21","Richard Goldschmidt, www.piqtured.com"
"14","commons.wikimedia.org/wiki/File:Orson_Welles_1937.jpg","31",\N
"15",\N,"44",\N
"16",\N,"44",\N
"28433","","45",\N
"18",\N,"44",\N
"19",\N,"44",\N
"20","http://commons.wikimedia.org/wiki/File:Bruce_Willis_1989.jpg","21",\N
"21",\N,"44",\N
"22","","21",\N
"23","http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_102-08538,_Fritz_Lang_bei_Dreharbeiten.jpg","21","Bundesarchiv, Bild 102-08538 / CC-BY-SA"
"24","","46",\N
"25","http://de.wikipedia.org/wiki/Datei:George_Lucas_cropped_2009.jpg","21","nicolas genin"
"27",\N,"44",\N
"28",\N,"44",\N
"30",\N,"44",\N
"31","","44",\N
"32","http://commons.wikimedia.org/wiki/File:Lior_Ashkenazi,_taken_by_Niv_Calderon.jpg","21","Niv Calderon"
"31778","http://commons.wikimedia.org/wiki/File:Elvis_Presley_1970.jpg","33","Ollie Atkins"
"34","http://de.wikipedia.org/wiki/Datei:Settermin_-Mord_mit_Aussicht-_am_13-Juni_2014_in_Neunkirchen_by_Olaf_Kosinsky--52.jpg","21","Olaf Kosinsky / Wikipedia"
