"movie_id","abstract"
"28966","Emma (Tilda Swinton), the matriarch of a wealthy Milanese family, lives in a carefully ordered world where her duty towards husband and children dominates. But a chance encounter ignites long repressed passions and sets her on a journey of sexual awakening. "
"25","Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action.  Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use."
"73","With it’s explicit depiction of violence American History X is a controversial drama about a convicted Neo-Nazi, and his struggle with his friends, family, and with the identity he has created for himself. The film touches on nationalism and racism in the US."
"103","Taxi Driver, starring Robert De Niro, is an oppressive psychodrama about a Vietnam Veteran who rebels against the immorality of big city life in New York. A Martin Scorseses film and one of the greatest and most disputed works of American cinema."
"79","The impressive and epic martial arts film has ascetics written all over it. From dancing through the air to over saturated colors and grandiose fight scenes this film is not just for the martials art fan."
"11931","Schwestern? Unmöglich! Maggie (Cameron Diaz) ist ein Partyflittchen, das nichts auf die Reihe kriegt. Pummelchen Rose (Toni Collette) ist eine pingelige Anwältin und unglücklich in den Boss verknallt. Ihre einzigen Gemeinsamkeiten sind ein Schuhtick und der Schmerz über den Verlust der Mutter. Als Maggie mit dem Mann schläft, der erstmals echtes Interesse an Rose zeigt, kommt es zum Bruch. Völlig "
"242","The last film from the Godfather trilogy ends the story of the mafia boss Michael Corleone sixteen years after the first two Godfathers. Critics and the public alike say it did not live up to the level or success as the firsts did although it was nominated for seven Oscars."
"240","Following the extraordinary success of the first Godfather film comes the second part of Coppolla's legendary trilogy.  This second installment tells the story of Michael Corleone, new boss of the New York mafia family."
"249","Danny DeVito’s message on the theme of divorce goes from a romantic Hollywood comedy to a dark raven comedy thriller.  "
"41750","Cholera Street (Original Turkish title: Ağır Roman, literally meaning \"Heavy Novel\") is a 1997 Turkish film directed by Mustafa Altıoklar, adapted from Metin Kaçan's best selling novel Ağır Roman."
"28887","A film by Bernard Rose, based on the novel by Leo Tolstoy with music by Ludwig Van Beethoven. Edgar Hudson meets Abby, a concert pianist, at a dinner party. Abby is involved with someone else but that doesn't stop the two from acting upon their strong attraction to one another.  Flash forward four years. Abby is now Mrs. Edgar Hudson, a resident of Beverly Hills and the mother of two children..."
