"movie_id","abstract"
"15969","Un duelo a tres bandas va a enfrentar a un cazarecompensas, un asesino a sueldo y un peculiar bandido, en su búsqueda de un mapa del tesoro en la convulsa Manchuria de los años 30. "
"41508","Tras su reciente y doloroso divorcio, el novelista John James se traslada a una apartada casa de campo con sus dos hijos, Sam y Louisa, una adolescente que reniega de vivir lejos de la ciudad. Pronto comienzan a escuchar unos extraños ruidos, al tiempo que Louisa empieza a tener un raro comportamiento, cada vez más siniestro, cuya respuesta se halla en un túmulo funerario situado cerca de la casa."
"18079","En otoño de 2003, con el empeño de poner online la vida de la universidad, Mark Zuckerberg creó el Facebook, que pronto se convirtió en un fenómeno mundial. Convertido en el billonario más joven de la historia, su éxito también le costó amistades y demandas millonarias. Una de ellas, por parte de los gemelos Winklevoss, compañeros suyos en Harvard que aseguran que les copió la idea. "
"28990","En la Inglaterra de los años 70, tres jóvenes (Freddie, Bruce y Snork) sueñan con escapar de la pequeña ciudad obrera donde viven, mientras pasan el tiempo bromeando, saliendo y persiguiendo a chicas. Pero la vida de Freddie cambia cuando consigue captar la atención de su jefe, y además, se enamora de su hija."
"34622","Barcelona, siglo XIX. Joana Prats es una joven que sufre agnosia, una extraña enfermedad por la que su cerebro no interpreta bien los estímulos sensoriales que recibe. Joana será víctima de un complot al ser la única conocedora de un secreto industrial guardado por su padre. Su prometido Carles y Vicent, uno de los criados de la mansión Prats, jugarán un papel crucial"
"25917","Jack Mabry, un Agente de la condicional que está a punto de jubilarse, recibe el encargo de revisar el caso de Gerald \"Stone\" Creeson. Éste necesita convencer a Jack de que está rehabilitado para que le dé el indulto. Para conseguirlo, su mujer, Lucetta, se meterá en el juego, manipulando al Agente para convencerlo. Este triángulo tendrá efectos inesperados para todos. "
"41830","En un encuentro casual en la carretera, Sala, un joven publicista de éxito pero con una vida vacía conoce a Cristina, una joven que viaja sólo con su mochila. A pesar de sus diferencias, ensguida conectarán y acabarán rememorando la mejor época de su infancia: el último verano con la pandilla, su primer amor, sus ilusiones y anhelos. Todos estos recuerdos harán que Sala se replantee su vida. "
"28680","Alex, junto con su hermana y el marido de ésta, se dedica profesionalmente a \"separar parejas\". A pesar de la inmoralidad de su trabajo, hay una regla de oro: nunca implicarse emocionalmente. Pero cuando un hombre les contrate para separar a su hija, que va a casarse en 10 días, las reglas empiezan a romperse."
"21786","Secuela de \"Paranormal Activity\", en la que una familia coloca cámaras de seguridad en su casa porque cree que ha sido víctima de una serie de robos. Pero lo que descubrirán será mucho más espeluznante y siniestro. "
"10943","Cassie es una turista norteamericana que descanse en Glastonbury tras un accidente de tráfico. Allí se descubre un mural donde se representa la crucifixión de Cristo desde una extraña perspectiva: la de los rostros que presenciaron el suplicio. A partir de aquí, Cassie empieza a tener visiones donde estos mismos rostros merodean por el pueblo, y cree que se trata de una premonición. "
