"movie_id","abstract"
"312",""
"93384","Un western moderne, opposant un jeune policier d'Arsynia (Pierre Vincent), à un vieux psychopathe (Victor Chai) et un malade sanguinaire (Patrick Steur). Au programme : des duels musclés, des runs sauvages, des paroles cultes... et des PVs. Attention : ils sont méchants, ils sont sévères, et ils sont sans pitié..."
"26299","En 1975, Jinhee a 9 ans quand son père la place dans un orphelinat tenu par des Soeurs catholiques à Séoul. Le film raconte la vie à l'orphelinat, les amitiés qui se tissent et se brisent au gré des départs, au fil des saisons. Et comment la petite Jinhee résiste à l'épreuve de l'adoption qui la séparera à jamais de ceux qu'elle aime."
"27093","Otto vit avec sa mere,il est chomeur et vend un journal pour SDF. Louna est coiffeuse et vit chez une vieille. Un jour,accompagnes d'Ali, un jeune immigré fugueur et spirituel, ils volent une voiture et partent au hasard des routes.Ils adoptent une cigogne blessée, la baptisent Mohamed, et décident de lui faire passer la frontiere allemande pour retrouver ses parents."
"27659","Il a 36 heures pour devenir... Le Mac !"
"19508","Les destins croisés de couples qui se séparent ou se retrouvent, de célibataires qui se rencontrent à Los Angeles, le jour de Saint-Valentin..."
"27712","Clémentine et Sébastien, jeunes parents débordés, pris en étau entre leur travail et leurs enfants, voient Marie-France, la mère de Sébastien, s'installer chez eux."
"27727","Artistes de cirque, Patty et son mari Walter vivent dans un camping à\
la périphérie de Rome.Un soir d'hiver, Patty trouve dans un parc voisin une fillette de 2 ans abandonnée par sa mère.Contre l'avis de Walter, elle décide de garder l'enfant chez elle. La petite Asia découvre une nouvelle vie au milieu des saltimbanques,des roulottes et des animaux."
"27733","Alexandre a quinze ans et vit seul avec son père, dans les coups et la violence, en révolte contre tous. Pour échapper à ce quotidien sans répit, Alex se réfugie dans son sport favori, l'aviron, et n'a qu'une obsession, gagner seul et à tout prix les championnats de Belgique. "
"28179","1942.Joseph a onze ans.  Et ce matin de Juin, il doit aller à l'école, une étoile Jaune cousue sur sa poitrine...Entre bienveillance et mépris, Jo, ses copains juifs comme lui, leurs familles, apprennent la vie dans un Paris occupé, sur la Butte Montmartre, où ils ont trouvé refuge. Tous les personnages du film ont existé. Tous les évènements, même les plus extrêmes, ont eu lieu cet été 1942."
"27040"," Frédérick fait pousser des arbres et, depuis près de soixante ans, cultive un secret. Autour de lui, seuls sa femme et son fils aîné savent la vérité sur son histoire. La mort de ce fils, avec qui il entretenait des rapports conflictuels, le conduit à révéler enfin à ses proches ce qu'il n'avait jamais pu dire."
"12166"," Le troisième film de réflexion de Kitano sur sa condition d'artiste. Machisu, un peintre sans talent, persiste à vouloir exercer son art..."
"28680"," Votre fille sort avec un sale type ? Votre soeur s'est enlisée dans une relation passionnelle destructrice ? Aujourd'hui, il existe une solution radicale, elle s'appelle Alex. Son métier : briseur de couple professionnel. Sa méthode : la séduction. Sa mission : transformer n'importe quel petit ami en ex. Mais Alex a une éthique, il ne s'attaque qu'aux couples dont la femme est malheureuse."
"5178"," Lucas, un garçon marginal, rencontre par hasard Jacques, un patron de bar grognon affaibli par cinq attaques cardiaques. Sachant que ses jours sont comptés, Jacques décide de prendre sous son aile Lucas. Tout se passe selon ses souhaits jusqu'au jour où April, une jolie hôtesse de l'air un peu éméchée, fait irruption dans le bar...."
"16176","Zinos, jeune restaurateur à Hambourg, traverse une mauvaise passe. Sa copine Nadine est partie s'installer à Shanghai, les clients de son restaurant, le Soul Kitchen, boudent la cuisine gastronomique de son nouveau chef, un talentueux caractériel, et il a des problèmes de dos !Zinos décide de rejoindre Nadine en Chine, et confie son restaurant à son frère Illias, fraîchement sorti de prison..."
"23359","John Crowley est au sommet de sa carrière quand il apprend que ses deux plus jeunes enfants sont gravement malades. Faute de soins adaptés, il s'associe avec le Dr Robert Stonehill, un scientifique brillant mais controversé. Ils créent une société de biotechnologie pour développer un médicament,ce qui amène deux hommes à lutter ensemble  contre les industries pharmaceutiques, et contre le temps. "
"24916","Natanaël a bientôt 7 ans et recoit de sa tante une bibliotèque avec des centaines de livres. Il ne sait pas lire, mais pendant la nuit, les héros des contes sortent des livrent et chargent le petit garcon d'une périlleuse mission : les empêcher de disparaître à jamais. Arrivera-t-il à lire à temps la formule magique qui les sauvera tous ?"
"29179","Théodore,maire d'un village en zone occupée pendant la Seconde Guerre mondiale, a recueilli P'tit Claude, dont les parents ont disparu depuis le début de la guerre. Mademoiselle Lundi, l'institutrice fait la connaissance des Tsiganes qui se sont installés à quelques pas de là. Humaniste et républicaine convaincue, elle s'arrange pour que les enfants Tsiganes soient scolarisés."
"29589","Étienne, un homme de 40 ans sur le point de devenir le chef de son groupe industriel, tente de se racheter d'une injustice commise au début de sa carrière. Avec un ami de jeunesse, il se rend chez l'homme qu'il a lésé pour demander pardon, mais l'opération tourne au cauchemard, et la vie d'Étienne bascule."
"29592","Itso,un jeune homme bulgare secourt une famille turque, agressée par un groupe de néo-nazis. Son jeune frère Georgi se trouve parmis eux. En se rapprochant de ce dernier et de la jolie Turque qu'il a sauvée,Isil, le tourmenté Itso entreprend un cheminement intérieur qui pourrait l'entraîner vers la voie du salut."
"16174","1973, Putsch en Uruguay. Xavi et Rosana, deux enfants amis et voisins, sont amenés à se séparer. Des années plus tard, ils se retrouvent en Espagne, ce qui leur permet de faire un long retour sur leur enfance et leur pays d'origine. Le temps de l'innocence et de la solidarité a été violemment interrompu par un événement historique - et familial - dans lequel les enfants n'avaient pas leur place."
"289",""
"3207",""
"49772","Fleur, une jeune Parisienne timide, rencontre à Marseille Vénus, une jeune Russe extravagante et perdue. Elles n'ont rien en commun, si ce n'est leur envie de rencontrer le garçon idéal... "
"70924","\"The Brian Adams Chronicles\" raconte l'histoire des familles Mckenzie, Legrand et Piens et aussi de Brian Adams, un adolescent en difficulté venant du mauvais côté de la barrière qui est poussée dans ce monde et qui changera à jamais la vie des habitants de Montbrison."
"855",""
"4999",""
"59926",""
"81582","Aimée est un agent spécial des services secrets français.\
Une coalition dirigée par des frères jumeaux se met en place pour l'éliminer en rassemblant une horde de tueurs les plus efficaces...\
Ou presque... Il pourrait se débarrasser d'eux aisément... Mais cela tombe précisément pendant le week end qu'il doit passer avec sa petite amie... "
"1893",""
"185","Orange mécanique (A Clockwork Orange) est un film de science-fiction britannique réalisé par Stanley Kubrick, sorti sur les écrans en 1971."
"5825","Cette année, Clark Griswold a décidé de fêter Noël comme il se doit, mais tout ne se passe pas comme prévu."
"1585",""
"59807",""
"597",""
"83874","Le gendre de Monsieur Poirier est un aristocrate, amateur de frivolités. Il décide de changer de vie pour se consacrer à son épouse et au travail. Sur Youtube : http://youtu.be/Fot4_WJ3V5Q"
"83876","Deux paysans s'affrontent parce que l'un, Fonse, veut couper les arbres devenus improductifs d'un verger que l'autre, Jofroi, lui a vendu. Jofroi menace de se suicider et fait du chantage à tout le village. Lorsqu'il meurt, de façon tout à fait naturelle, Fonse décide de conserver quelques arbres en souvenir du vieil homme. Sur Youtube : http://youtu.be/-kpy13NLS64"
"83877","Angèle est la fille de Clarius Barbaroux, un paysan. Un beau jour, elle quitte sa famille sans avertir personne pour suivre un bellâtre. Celui-ci s'avère être un proxénète et prostitue Angèle. Quelques mois plus tard, elle revient à la maison avec un enfant. Son père l'enferme à la cave avec son bébé. Mais les bons valets Saturnin et Amédée veillent sur elle."
"83878","Noël ! Il ne reste dans le grand lycée que quelques gosses oubliés par les leurs : les \"orphelins\", les \"exilés\", livrés au plus effrayant, au plus détesté des pions : Merlusse, au visage balafré..."
"83879","Cigalon est le propriétaire d'un restaurant dans un petit village de Provence. Depuis des années, il refuse catégoriquement de servir les clients. Un beau jour, Mme Toffi, son ancienne blanchisseuse, vient ouvrir un autre restaurant dans le village. Cigalon piqué au vif se remet aux fourneaux."
"55504","Dans un village de haute Provence, un boulanger récemment installé découvre un matin que sa jeune femme est partie avec un berger. Il décide de faire la grève du pain tant que sa femme n'est pas revenue. Le village se mobilise pour pouvoir retrouver sa boulangère."
"83880","Topaze, instituteur, concurrence le curé sur sa présentation de la morale à sa classe. Mais la réalité, par exemple son sex-appeal pour le beau sexe, lui enseigne cruellement que les principes ont des limites et rien n'est plus aphrodisiaque que le succès social."
"339",""
"84726","La vie difficile de Samba, étranger en France qui travaille mais est en situation irrégulière."
"92238","Un groupe de six amis d'enfance se sépare suite à la perte de leur amie Menma, morte d'une noyade. Dix années plus tard, Jintan, l'ex-leader du groupe d'amis « Super Busters Pacifique », devenu un hikikomori, voit apparaitre un jour d'été devant ses yeux l'esprit errant de Menma. Elle veut réaliser un souhait qu'elle a oublié et est aidée pour cela de Jintan."
"93383","Un Festival mondialement connu... Un Cristal rutilant... Un héros attachant... Une poOle aguichante... et des vilains super balèzes ! Objectif : trouver le Cristal, dérouiller les méchants et se taper LA super meuf ! BoOzy' part à la quête du Cristal Sacré d'Annecy !"
"93387","Franchir un STOP... tout en conservant un max de dents."
"93388","Œuvre multimédia expérimentale en VIII volumes."
"93389","Expérience Visuelle Animée."
"102936","Suso, un jeune sans travail ni futur, remarque une étrange jeune femme et la suit, jusqu'à ce qu'elle se jette d'une falaise, sans qu'il n'ait rien pu faire pour l'en empêcher.  Suso cherchera des réponses qui pourrait raviver des souvenirs du passé ou même l'amener à reconsidérer sa véritable identité."
"5528","Clément Mathieu est professeur de musique dans un internat de rééducation pour mineurs en 1949."
"117215","La room #xxxxxxxxxxx sur un réseau non communiqué du Darknet regroupe au maximum 18 des meilleurs hackers mondiaux. Ils ont tous trois points communs : une très grande maîtrise des technologies, un passé peu commun et une discrétion absolue."
"118040","Jeune couple follement amoureux qui se retrouve face aux obstacles très rudes."
