"movie_id","runtime","budget","revenue","homepage"
"2","69","0","0",""
"3","71","0","0",""
"4","115","0","0",""
"5","98","4000000","4300000",""
"6","110","0","0",""
"12138","125","0","0",""
"8","80","42000","0","www.lifeinloops.com"
"9","15","0","0",""
"11","121","11000000","775398007",""
"12","100","94000000","864625978",""
"13","142","55000000","679400000",""
"14","117","15000000","356296601","http://www.dreamworks.com/ab/"
"15","117","686033","0",""
"16","140","0","40000000",""
"17","87","0","0","http://www.whatisannwyn.co.uk/"
"18","127","90000000","263920180",""
"19","210","25000000","0","http://www.kino.com/metropolis/"
"20","106","0","0","http://www.clubcultura.com/clubcine/clubcineastas/isabelcoixet/mividasinmi/index.htm"
"21","95","0","0",""
"22","143","140000000","655011224","http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html"
"24","111","55000000","180949000",""
"25","123","70000000","0",""
"26","103","1400000","0","http://www.walkonwatermovie.com"
"27","71","1000000","332323","http://www.tiscali.co.uk/events/2005/9songs/main.html"
"28","153","3150000","83471511",""
"30","42","0","0",""
"31","38","0","0",""
"32","21","0","0",""
"33","131","0","159157447",""
"35","87","75000000","527000000","http://www.simpsonsmovie.com/"
"38","108","20000000","72000000","http://www.eternalsunshine.com"
"55","153","2000000","21000000",""
"58","151","110000000","1065659812","http://disney.go.com/disneypictures/pirates/"
"59","92","32000000","60334064","http://wwws.warnerbros.de/historyofviolence/"
"62","141","10500000","190700000",""
"63","129","30000000","157900000",""
"64","112","0","51001550","http://www.clubcultura.com/clubcine/clubcineastas/almodovar/hableconella/hableconella.htm"
"65","106","41000000","215000000","http://movies.uip.de/8mile/"
"66","121","50000000","50068310",""
"67","90","0","3357075","http://wip.warnerbros.com/paradisenow/"
"68","134","15000000","0",""
"69","136","28000000","170000000",""
"70","137","30000000","216763646","http://www.milliondollarbaby-derfilm.de/"
"71","110","5000000","110000000","http://www.billyelliot.com"
"73","119","10000000","23875127","http://www.historyx.com/"
"74","117","132000000","591739379",""
"75","106","70000000","101371017","http://marsattacks.warnerbros.com/"
"76","105","2500000","0",""
"77","113","9000000","39723096","http://www.otnemem.com/"
"78","117","28000000","33000000",""
"79","99","30000000","177394432",""
"80","77","2700000","0","http://wip.warnerbros.com/index.html?site=beforesunset"
"81","116","0","0","http://disneyvideos.disney.go.com/moviefinder/products/2534403.html"
"82","134","135000000","163794509",""
"83","79","130000","0","www.openwatermovie.com"
"85","115","20000000","383000000","http://www.indianajones.com"
"86","105","0","0","http://www.elementarteilchen.film.de/"
