"movie_id","language_iso_639_1"
"2","fi"
"3","fi"
"4","fr"
"5","en"
"6","en"
"8","de"
"8","en"
"8","hi"
"8","es"
"9","de"
"11","en"
"12","en"
"13","en"
"14","en"
"15","en"
"16","en"
"17","cy"
"17","en"
"18","en"
"19","de"
"20","en"
"21","en"
"22","en"
"24","en"
"24","fr"
"24","ja"
"25","en"
"26","de"
"26","en"
"26","he"
"27","en"
"28","en"
"28","fr"
"28","km"
"28","vi"
"30","ja"
"31","ja"
"32","ja"
"33","en"
"35","en"
"38","en"
"55","es"
"58","en"
"59","en"
"60","en"
"61","en"
"62","en"
"62","en"
"62","ru"
"62","ru"
"63","en"
"64","es"
"65","en"
"66","en"
"67","ar"
"68","en"
"69","en"
"70","en"
"70","ga"
"71","en"
"72","en"
"73","en"
"74","en"
"75","en"
"76","en"
"77","en"
"78","en"
"79","zh"
"80","en"
"80","fr"
"81","en"
"81","ja"
"82","en"
"83","en"
"85","ar"
"85","de"
"85","en"
"85","fr"
"85","he"
"85","ne"
"85","es"
"86","de"
"87","en"
"87","si"
"87","zh"
"88","en"
"89","de"
"89","el"
"89","en"
"90","en"
"91","es"
"92","en"
"92","hi"
"92","ru"
"92","es"
"93","en"
"94","de"
"95","en"
"96","en"
"97","en"
"98","en"
"99","es"
"100","en"
"101","en"
"102","da"
"103","en"
"104","de"
"105","en"
"106","en"
"106","es"
"107","en"
"107","ru"
"108","fr"
"108","pl"
"109","fr"
"109","pl"
"110","fr"
"111","en"
"111","es"
"112","da"
"113","ko"
"114","en"
"115","de"
"115","en"
"115","he"
"115","es"
"116","en"
"117","en"
"118","en"
"120","en"
"121","en"
"122","en"
"123","en"
"124","en"
"124","pl"
"125","pl"
"126","pl"
"127","pl"
"128","ja"
"129","ja"
"130","ja"
"132","en"
"133","en"
"134","en"
"135","en"
"136","en"
"137","en"
"137","fr"
"137","it"
"138","en"
"139","da"
"140","es"
"141","en"
"142","en"
"143","en"
"143","fr"
"144","de"
"144","en"
"144","fr"
"145","en"
"146","zh"
"147","fr"
"148","en"
"149","ja"
"150","en"
"152","en"
"153","en"
"153","ja"
"154","en"
"155","en"
"156","en"
"157","en"
"158","de"
"159","de"
"160","fr"
"161","en"
"161","it"
"162","en"
"163","en"
"163","fr"
"163","it"
"163","nl"
"164","en"
"164","pt"
"165","en"
"166","fr"
"167","en"
"168","en"
"169","en"
"170","en"
"171","fr"
"172","en"
"173","en"
"174","en"
"175","en"
"175","fr"
"175","it"
"176","en"
"177","en"
"178","en"
"179","en"
"180","en"
"180","sv"
"182","de"
"182","en"
"182","ru"
"183","en"
"184","en"
"185","en"
"186","en"
"187","en"
"189","en"
"190","de"
"191","de"
"192","en"
"192","la"
"193","en"
"194","fr"
"195","en"
"195","it"
"196","en"
"197","en"
"197","fr"
"197","la"
"198","en"
"199","en"
"200","en"
"201","en"
"203","en"
"204","de"
"204","en"
"204","fr"
"204","it"
"204","es"
"205","en"
"205","fr"
"206","en"
"207","en"
"210","en"
"211","de"
"212","en"
"213","en"
"214","en"
"215","en"
"216","de"
"217","en"
"218","en"
"218","es"
"219","es"
"220","en"
"221","en"
"222","de"
"223","en"
"224","pl"
"225","pl"
"226","en"
"227","en"
"228","de"
"228","en"
"229","en"
"231","ar"
"231","en"
"231","fa"
"231","ur"
"232","en"
"233","en"
"234","de"
"235","en"
"236","en"
"237","en"
"238","en"
"238","it"
"238","la"
"239","en"
"240","en"
"240","it"
"240","la"
"240","es"
"241","en"
"242","en"
"242","it"
"243","da"
"243","en"
"244","en"
"245","en"
"246","ja"
"247","en"
"248","en"
"249","en"
"250","da"
"250","de"
"250","en"
"250","sh"
"251","en"
"252","de"
"252","en"
"252","fr"
"253","en"
"253","hu"
"254","en"
"255","fr"
"256","fr"
"257","en"
"258","fr"
"259","fr"
"260","en"
"261","en"
"262","en"
"265","de"
"266","de"
"266","en"
"266","fr"
"266","it"
"267","es"
"268","en"
"269","fr"
"270","de"
"271","sv"
"272","bo"
"272","en"
"273","de"
"274","en"
"275","en"
"276","de"
"277","en"
"278","en"
"278","it"
"279","en"
"279","it"
"280","en"
"280","es"
"281","en"
"284","en"
"285","en"
"285","zh"
"286","de"
"287","en"
"288","en"
"289","en"
"290","en"
"291","en"
"292","en"
"293","en"
"294","en"
"296","en"
"297","en"
"298","en"
"299","en"
"300","en"
"300","fr"
"300","es"
"301","en"
"301","es"
"302","en"
"302","fr"
"303","en"
"306","en"
"307","de"
"307","it"
"308","en"
"309","da"
"310","en"
"311","en"
"312","de"
"313","en"
"314","en"
"315","en"
"316","de"
"317","bs"
"318","en"
"319","en"
"320","en"
"321","en"
"321","fr"
"321","it"
"322","en"
"326","en"
"327","en"
"327","it"
"327","ja"
"327","es"
"329","en"
"330","en"
"331","en"
"332","en"
"333","en"
"334","en"
"334","fr"
"335","en"
"336","en"
"336","it"
"337","fr"
"337","tr"
"338","de"
"339","en"
"339","fi"
"339","fr"
"339","it"
"340","en"
"340","ru"
"340","uk"
"341","en"
"342","de"
"343","en"
"344","de"
"345","en"
"346","ja"
"347","de"
"348","en"
"349","fr"
"350","en"
"351","de"
"363","de"
"363","en"
"363","tr"
"364","en"
"377","en"
"378","en"
"379","en"
"379","gd"
"379","it"
"379","yi"
"380","en"
"381","en"
"381","fr"
"383","en"
"383","es"
"387","de"
"387","en"
"387","fr"
"388","en"
"389","en"
"390","de"
"390","en"
"390","pt"
"391","it"
"391","es"
"392","en"
"392","fr"
"393","en"
"393","es"
"393","zh"
"395","en"
"396","en"
"396","la"
"397","en"
"397","fr"
"398","en"
"400","en"
"401","en"
"402","en"
"403","en"
"404","en"
"405","it"
"406","fr"
"407","de"
"407","el"
"407","tr"
"408","en"
"409","ar"
"409","de"
"409","en"
"409","it"
"410","de"
"411","en"
"412","en"
"413","en"
"414","en"
"415","en"
"416","en"
"417","en"
"418","en"
"419","de"
"421","en"
"422","de"
"422","en"
"422","fr"
"422","it"
"423","de"
"423","en"
"423","pl"
"424","de"
"424","en"
"424","he"
"424","pl"
"425","en"
"426","en"
"427","fr"
"428","de"
"429","en"
"429","it"
"430","de"
"430","en"
"430","ru"
"431","de"
"431","en"
"433","en"
"434","de"
"435","en"
"436","en"
"436","es"
"437","en"
"438","en"
"438","fr"
"439","de"
"439","en"
"439","fr"
"439","it"
"441","en"
"442","fi"
"442","sv"
"443","en"
"444","en"
"445","fr"
"446","de"
"446","pl"
"446","ru"
"451","en"
"452","da"
"453","en"
"454","en"
"455","en"
"457","de"
"458","de"
"459","de"
"460","de"
"462","en"
"463","en"
"464","en"
"464","it"
"464","sv"
"465","fr"
"466","en"
"467","en"
"468","en"
"469","en"
"469","hu"
"470","en"
"471","en"
"471","pl"
"472","en"
"473","en"
"474","en"
"475","en"
"476","en"
"477","en"
"478","en"
"479","de"
"479","en"
"479","es"
"480","en"
"480","hi"
"481","es"
"482","en"
"483","en"
"484","en"
"485","en"
"486","en"
"487","en"
"488","de"
"488","en"
"488","sw"
"489","en"
"490","sv"
"491","de"
"491","el"
"491","tr"
"492","en"
"493","en"
"494","en"
"496","en"
"496","he"
"497","en"
"499","fr"
"500","en"
"501","en"
"502","en"
"502","ru"
"503","en"
"504","en"
"505","en"
"506","en"
"507","en"
"507","fr"
"508","en"
"508","fr"
"508","pt"
"509","en"
"510","en"
"511","de"
"511","pl"
"512","en"
"513","en"
"513","hi"
"514","en"
"515","en"
"516","en"
"517","en"
"519","en"
"520","en"
"521","en"
"522","en"
"523","de"
"524","en"
"524","fr"
"525","en"
"526","en"
"527","en"
"527","mi"
"529","en"
"530","en"
"531","en"
"532","en"
"533","en"
"534","en"
"535","en"
"536","de"
"536","zh"
"537","fr"
"538","de"
"539","en"
"540","en"
"541","en"
"542","es"
"543","en"
"544","en"
"545","en"
"546","en"
"547","en"
"548","ja"
"549","en"
"549","es"
"550","en"
"551","en"
"552","it"
"553","en"
"554","ru"
"555","de"
"555","fr"
"557","en"
"558","en"
"559","en"
"560","en"
"561","en"
"561","tl"
"562","de"
"562","en"
"563","en"
"564","en"
"565","en"
"566","en"
"567","en"
"568","en"
"569","fr"
"570","fr"
"571","en"
"573","en"
"574","en"
"575","de"
"576","en"
"577","en"
"578","en"
"579","en"
"580","en"
"581","en"
"582","de"
"583","en"
"584","en"
"585","en"
"586","en"
"587","en"
"588","en"
"590","en"
"591","en"
"591","fr"
"591","la"
"592","en"
"593","ru"
"594","bg"
"594","en"
"594","fr"
"594","ru"
"595","en"
"596","en"
"597","en"
"598","pt"
"599","en"
"600","en"
"600","vi"
"601","en"
"602","en"
"603","en"
"604","en"
"605","en"
"606","en"
"606","sw"
"607","en"
"608","en"
"609","en"
"612","en"
"613","de"
"613","ru"
"614","sv"
"615","he"
"615","la"
"616","en"
"616","fr"
"616","ja"
"617","en"
"618","en"
"619","en"
"620","en"
"621","en"
"622","en"
"623","en"
"624","en"
"625","en"
"625","fr"
"625","km"
"627","en"
"628","en"
"629","en"
"630","en"
"631","en"
"632","de"
"632","en"
"633","de"
"633","en"
"633","nl"
"634","en"
"635","en"
"636","en"
"637","de"
"637","en"
"637","it"
"638","en"
"639","en"
"640","en"
"641","en"
"642","en"
"643","ru"
"644","en"
"646","en"
"647","ja"
"648","fr"
"649","fr"
"650","en"
"651","en"
"652","en"
"653","de"
"654","en"
"655","en"
"657","en"
"658","en"
"659","de"
"659","pl"
"659","ru"
"660","en"
"661","de"
"662","fr"
"663","en"
"664","en"
"665","en"
"666","pt"
"667","en"
"667","ja"
"668","de"
"668","en"
"669","en"
"670","ko"
"671","en"
"672","en"
"673","en"
"674","en"
"675","en"
"676","en"
"677","de"
"678","en"
"679","en"
"680","en"
"681","de"
"681","en"
"681","nl"
"682","en"
"682","th"
"685","de"
"686","en"
"687","en"
"688","en"
"689","el"
"690","fr"
"691","ar"
"691","en"
"691","it"
"692","en"
"693","en"
"694","en"
"695","en"
"696","en"
"697","ru"
"698","en"
"698","it"
"699","el"
"699","en"
"699","it"
"700","en"
"700","ru"
"700","es"
"701","en"
"702","en"
"703","de"
"703","en"
"704","en"
"705","en"
"706","de"
"707","en"
"708","ar"
"708","de"
"708","en"
"708","fr"
"708","ru"
"709","en"
"709","es"
"710","en"
"710","ru"
"710","es"
"711","en"
"712","en"
"713","en"
"713","mi"
"714","de"
"714","en"
"715","ar"
"715","de"
"715","en"
"715","fr"
"716","en"
"717","en"
"718","en"
"719","en"
"720","en"
"721","en"
"722","en"
"723","de"
"724","en"
"725","en"
"725","ru"
"726","de"
"726","en"
"726","ko"
"726","es"
"727","de"
"727","en"
"727","sh"
"728","en"
"729","en"
"730","en"
"731","en"
"731","it"
"732","en"
"733","en"
"734","en"
"736","de"
"737","en"
"738","de"
"738","en"
"738","fr"
"739","en"
"740","de"
"740","en"
"741","en"
"742","sv"
"743","de"
"743","fi"
"744","en"
"745","en"
"745","es"
"746","en"
"746","ja"
"746","zh"
"747","en"
"749","en"
"750","en"
"751","en"
"752","en"
"753","en"
"754","en"
"755","en"
"756","en"
"757","en"
"758","en"
"759","en"
"759","fr"
"760","en"
"760","fr"
"760","he"
"760","yi"
"761","fr"
"762","en"
"762","fr"
"762","la"
"763","en"
"763","es"
"764","en"
"765","en"
"766","en"
"767","en"
"768","en"
"769","en"
"770","en"
"771","en"
"772","en"
"773","en"
"774","fr"
"775","fr"
"776","fr"
"777","fr"
"778","fr"
"779","de"
"779","fr"
"780","fr"
"781","de"
"782","en"
"782","eo"
"783","en"
"784","cs"
"784","ru"
"784","sk"
"785","de"
"786","en"
"787","en"
"788","en"
"789","cs"
"790","en"
"791","en"
"792","en"
"793","en"
"794","en"
"794","la"
"795","en"
"796","en"
"797","sv"
"798","de"
"799","de"
"800","es"
"801","en"
"802","en"
"803","fr"
"804","en"
"805","en"
"806","en"
"807","en"
"808","en"
"809","en"
"810","en"
"811","de"
"811","en"
"812","en"
"813","en"
"814","en"
"815","en"
"816","en"
"817","de"
"817","en"
"818","de"
"818","en"
"818","ja"
"819","en"
"820","en"
"821","en"
"822","bn"
"823","ja"
"824","en"
"824","fr"
"825","en"
"826","en"
"826","ja"
"826","th"
"827","fr"
"828","en"
"828","fr"
"828","hi"
"829","en"
"830","en"
"831","en"
"832","de"
"833","it"
"834","en"
"835","de"
"836","pt"
"837","en"
"838","en"
"839","en"
"840","en"
"840","fr"
"840","hi"
"840","es"
"841","en"
"842","en"
"843","zh"
"844","ja"
"844","zh"
"845","en"
"846","en"
"847","en"
"848","en"
"849","en"
"850","en"
"851","en"
"852","de"
"853","en"
"854","en"
"855","en"
"856","en"
"857","cs"
"857","de"
"857","en"
"857","fr"
"858","en"
"859","en"
"860","en"
"861","en"
"862","en"
"862","es"
"863","en"
"864","en"
"865","en"
"866","en"
"867","en"
"868","af"
"868","xh"
"868","zu"
"869","en"
"870","ja"
"871","en"
"872","en"
"873","en"
"874","en"
"875","en"
"876","en"
"877","en"
"878","de"
"879","en"
"880","nl"
"881","en"
"882","de"
"883","en"
"884","en"
"884","sv"
"885","en"
"886","en"
"887","en"
"888","en"
"889","en"
"890","de"
"891","en"
"892","fr"
"893","de"
"894","de"
"895","ru"
"896","bn"
"897","bn"
"898","en"
"899","en"
"900","en"
"901","en"
"902","fr"
"903","en"
"904","de"
"905","de"
"906","de"
"907","en"
"908","nl"
"909","en"
"910","en"
"911","en"
"912","en"
"913","en"
"914","en"
"916","en"
"917","hi"
"918","en"
"919","ja"
"920","en"
"920","it"
"921","en"
"922","en"
"923","en"
"924","en"
"925","en"
"926","en"
"927","en"
"927","es"
"928","en"
"929","en"
"929","fr"
"929","ja"
"930","de"
"931","en"
"931","it"
"932","de"
"933","de"
"934","fr"
"935","en"
"936","en"
"938","it"
"939","en"
"939","yi"
"940","en"
"941","en"
"942","en"
"943","en"
"944","en"
"946","en"
"947","ar"
"947","en"
"947","tr"
"948","en"
"949","en"
"949","es"
"950","en"
"951","en"
"951","es"
"953","en"
"954","en"
"955","en"
"956","de"
"956","en"
"956","it"
"956","zh"
"957","en"
"959","en"
"960","en"
"961","en"
"962","en"
"963","en"
"964","en"
"965","en"
"966","en"
"967","en"
"968","en"
"969","en"
"970","en"
"971","en"
"972","en"
"973","en"
"974","en"
"975","en"
"976","en"
"977","en"
"978","en"
"979","fr"
"980","en"
"981","en"
"982","en"
"983","en"
"984","en"
"985","en"
"986","en"
"987","en"
"988","en"
"989","en"
"990","en"
"991","en"
"992","en"
"993","en"
"994","en"
"995","en"
"996","en"
"997","en"
"998","en"
"999","en"
"1000","en"
"1001","en"
"1002","en"
"1004","en"
"1005","en"
"1007","en"
"1008","en"
"1009","en"
"1010","en"
"1011","en"
"1012","en"
"1013","en"
"1014","en"
"1015","en"
"1016","en"
"1017","en"
"1018","en"
"1020","en"
"1021","en"
"1021","he"
"1022","en"
"1023","da"
"1024","en"
"1025","en"
"1026","en"
"1027","en"
"1028","en"
"1029","en"
"1030","en"
"1031","en"
"1032","en"
"1033","en"
"1034","en"
"1035","en"
"1036","en"
"1037","en"
"1038","en"
"1039","de"
"1040","it"
"1041","en"
"1042","en"
"1043","en"
"1044","en"
"1045","en"
"1046","en"
"1047","en"
"1048","en"
"1049","en"
"1050","zh"
"1051","en"
"1051","fr"
"1052","en"
"1055","ja"
"1056","ja"
"1057","ja"
"1058","en"
"1059","ja"
"1061","en"
"1062","en"
"1063","en"
"1064","en"
"1065","en"
"1066","en"
"1067","en"
"1068","en"
"1069","en"
"1070","en"
"1071","en"
"1072","en"
"1073","en"
"1074","en"
"1075","sh"
"1076","en"
"1077","en"
"1078","en"
"1079","en"
"1080","en"
"1081","en"
"1082","en"
"1083","en"
"1084","en"
"1085","en"
"1086","en"
"1087","en"
"1088","en"
"1088","mi"
"1089","en"
"1090","en"
"1091","en"
"1091","no"
"1092","de"
"1092","en"
"1092","ru"
"1093","fr"
"1095","en"
"1096","en"
"1097","en"
"1098","en"
"1099","en"
"1100","en"
"1101","en"
"1102","en"
"1103","en"
"1104","en"
"1105","en"
"1106","en"
"1107","en"
"1108","en"
"1109","en"
"1110","en"
"1111","en"
"1112","en"
"1113","en"
"1114","mn"
"1115","de"
"1115","fr"
"1116","en"
"1116","ga"
"1117","en"
"1118","en"
"1119","en"
"1120","en"
"1121","en"
"1122","en"
"1123","af"
"1123","en"
"1123","zu"
"1124","en"
"1125","en"
"1126","en"
"1127","es"
"1128","fr"
"1131","en"
"1132","en"
"1133","en"
"1134","en"
"1135","en"
"1136","en"
"1137","en"
"1138","en"
"1139","en"
"1140","en"
"1141","en"
"1142","en"
"1144","en"
"1145","en"
"1146","en"
"1147","en"
"1148","en"
"1149","en"
"1150","en"
"1151","en"
"1152","en"
"1153","en"
"1154","en"
"1155","en"
"1156","en"
"1157","en"
"1158","en"
"1159","en"
"1160","en"
"1162","en"
"1163","en"
"1164","ar"
"1164","en"
"1164","ja"
"1164","es"
"1165","en"
"1167","en"
"1168","en"
"1169","en"
"1170","en"
"1171","en"
"1172","en"
"1173","en"
"1174","en"
"1175","en"
"1176","en"
"1177","en"
"1178","en"
"1179","en"
"1180","en"
"1181","en"
"1182","en"
"1183","en"
"1184","en"
"1185","en"
"1186","en"
"1187","en"
"1188","en"
"1189","en"
"1190","en"
"1192","en"
"1193","en"
"1194","en"
"1195","en"
"1196","en"
"1197","en"
"1198","en"
"1199","en"
"1200","en"
"1201","en"
"1202","en"
"1203","en"
"1204","en"
"1205","en"
"1206","en"
